project_number,person_id_snsf,role,institute_name,institute_place,institute_id_p3
198887,772591,applicant,Pharmacology and Toxicology Department The German University in Cairo,Cairo,258191
147836,623720,applicant,Hawassa University Law School,Hawassa,240197
146896,112365,applicant,Ifakara Health Institute,Dar es Salaam,230492
193649,756696,partner,ECOWAS Center for Renewable Energy and Energy Efficiency (ECREEE),Praia,255913
171175,775693,employee,NA,NA,NA
171176,690464,applicant,Women’s Right to Education Programme (WREP),Abudja,247339
193649,756701,partner,"Energy Commission, Ghana",Accra,255914
147278,633463,employee,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
152224,633463,employee,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
177582,633463,employee,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
152154,99871,applicant,Institut de Biologie Université de Neuchâtel,Neuchâtel,238063
177583,99871,applicant,Institut de Biologie Université de Neuchâtel,Neuchâtel,238063
147278,617322,applicant,CSIR Water Research Institute,Akosombo,239727
152017,634067,applicant,International Institute of Tropical Agricult,Ibadan,241507
177584,634067,applicant,International Institute of Tropical Agricult,Ibadan,241507
160373,623490,applicant,University of Ghana School of Public Health College of Health Sciences,Legon-Accra,240143
183760,623490,applicant,University of Ghana School of Public Health College of Health Sciences,Legon-Accra,240143
160910,662138,applicant,Faculty of Public Health Department of Health University of Ibadan,Ibadan,244432
152017,634068,applicant,Laboratory of Plant Physiology UFR BIOSCIENCES Université Felix Houphouët Boigny,Abidjan,249786
177584,634068,applicant,Laboratory of Plant Physiology UFR BIOSCIENCES Université Felix Houphouët Boigny,Abidjan,249786
160929,617276,applicant,Université Alassane Ouattara Bouaké,Bouaké,254366
152085,634461,applicant,Addis Ababa University Water and Land Resource Centre,Addis Ababa,230460
177588,634461,applicant,Addis Ababa University Water and Land Resource Centre,Addis Ababa,230460
169470,683123,applicant,"University of the Witwatersrand School of Education Centre for Researching Education and Labour,",Johannesburg,246712
194006,683123,applicant,"University of the Witwatersrand School of Education Centre for Researching Education and Labour,",Johannesburg,246712
160919,662180,applicant,Center for Health Studies CES Universidad del Valle de Guatemala,Guatemala City,244446
171191,560072,applicant,Interdisziplinäres Zentrum für Geschlechterforschung (IZFG) Universität Bern,Bern,210259
194252,759391,partner,Tea Research Institute of Sri Lanka,Talawakelle,256461
147278,617321,applicant,"CHF International, Ghana","Legon, Accra",239726
147320,617355,applicant,Laboratorio de Fisica de la Atmosfera Carrera de Fisica Universidad Mayor de San Andres,La Paz,246742
177592,715790,employee,Centre for Development and Environment University of Bern,Bern,240943
171177,623459,applicant,African Center for Economic Transformation,Accra,240131
193649,756699,partner,Accra Metropolitan Assembly,Accra,255915
147330,626803,applicant,Juboken Enterprise Inc.,Quezon City,249867
194252,759394,partner,University of Peradeniya,Peradeniya,234120
177319,731728,employee,NA,NA,NA
147330,626801,applicant,Visayas State University,Leyte,240694
177480,626801,applicant,Visayas State University,Leyte,240694
177295,738237,employee,Institut de psychologie Université de Lausanne,Lausanne,257614
147278,617319,applicant,Biotechnology & Nuclear Agric. Res Institute,Accra,239725
194093,708641,employee,Schweizer Institut für Sucht- und Gesundheitsforschung ISGF,Zürich,59659
152033,623748,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
177585,623748,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
193649,781655,employee,NA,NA,NA
160366,721495,employee,Institute for Public Communication (ICP) Università della Svizzera italiana,Lugano,251123
193915,721998,responsible_applicant,Institut des sciences et ingénierie chimiques EPFL - SB - ISIC,Lausanne,135442
147836,594054,applicant,Département de Sociologie Faculté des Sciences de la Société Université de Genève,Genève 4,1454
146955,651892,employee,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Lausanne,6113
171188,651892,employee,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Lausanne,6113
198747,759923,applicant,Medical Physics Lab National Institute of Neurology & Neurosurge INNN,MEXICO CITY,256613
152085,528222,employee,NCCR North-South Universität Bern,Bern,132490
152085,680818,employee,NA,NA,NA
152167,680818,employee,NA,NA,NA
177592,680818,employee,NA,NA,NA
146875,641072,employee,NA,NA,NA
177587,526592,applicant,Laboratoire de technologie écologique EPFL - ENAC - IIE - ECOL,Lausanne,221664
147314,637320,employee,Forschungsanstalt Agroscope Reckenholz-Tänikon ART,Zürich,90107
177474,706753,applicant,Research Center of Astronomy and Geophysics Institute of Geophysics Mongolian Academy of Sciences,Ulaanbaatar - 51,249672
193032,755420,partner,Association Happy Togo Affolternstrasse,Zürich,255827
152085,659638,employee,CABI,Delémont,107132
152154,659638,employee,CABI,Delémont,107132
177583,659638,employee,CABI,Delémont,107132
177588,659638,employee,CABI,Delémont,107132
147278,692324,employee,NA,NA,NA
147350,599962,employee,Völkerkundemuseum Universität Zürich,Zürich,6700
160914,674255,applicant,National University of Colombia,Bogota,245881
160366,542249,responsible_applicant,Hôpitaux Universitaires de Genève Division of Tropical and Humanitarian Medicine,Genève 4,243760
160919,716171,employee,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Basel,229552
177385,716171,employee,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Basel,229552
169470,694144,applicant,Ethiopian Institute of Technology Mekelle University,Mekelle,248110
194006,694144,applicant,Ethiopian Institute of Technology Mekelle University,Mekelle,248110
177385,600775,employee,Département de Psychologie Université de Fribourg,Fribourg,5530
160867,697573,employee,Chulalongkorn University,Bangkok,234054
152017,660376,employee,NA,NA,NA
177296,689414,employee,Laboratoire de recherche santé-social EESP - Lausanne HES-SO,Lausanne,252326
152033,659577,employee,Geneva Academy of International Humanitarian Law and Human Rights,Genève 21,234643
177585,659577,employee,Geneva Academy of International Humanitarian Law and Human Rights,Genève 21,234643
160897,727593,employee,NA,NA,NA
147330,608877,employee,"Berner Fachhochschule Architektur, Holz und Bau",Biel/Bienne 6,224160
177480,608877,employee,"Berner Fachhochschule Architektur, Holz und Bau",Biel/Bienne 6,224160
147725,552099,employee,Centre for Development and Environment University of Bern,Bern,240943
171191,552099,employee,Centre for Development and Environment University of Bern,Bern,240943
147725,608376,employee,Interdisziplinäres Zentrum für Geschlechterforschung (IZFG) Universität Bern,Bern,210259
152085,636151,applicant,Kenya Agricultural Research Institute KARI-KABETE,Nairobi,243041
169461,100970,applicant,University of Health and Allied Sciences,Ho,246703
194003,100970,applicant,University of Health and Allied Sciences,Ho,246703
147725,623496,applicant,CIAT International Center for Tropical Agricultur,Kigali,240145
171191,623496,applicant,CIAT International Center for Tropical Agricultur,Kigali,240145
177480,632813,applicant,"Hochschule für Agrar-, Forst- und Lebensmittel Berner Fachhochschule",Zollikofen,249685
147330,651222,employee,NA,NA,NA
177319,542103,responsible_applicant,Swiss TPH Universität Basel,Basel,253398
171175,623148,employee,Center for Comparative and International Studies (CIS) and Institute for Environmental Decisions (IED),Zürich,236544
147210,576939,employee,Département de science politique et relations internationales Université de Genève,Genève 4,233813
147210,576939,employee,Global Governance CIS ETH Zürich,Zürich,233813
160923,535553,applicant,Section des Sciences Pharmaceutiques Biopharmacie Université de Genève,Genève 4,247644
169632,683209,applicant,Departamento de Economía Facultad de Economía y Negocios Universidad Alberto Hurtado,Santiago de Chile,246772
194005,683209,applicant,Departamento de Economía Facultad de Economía y Negocios Universidad Alberto Hurtado,Santiago de Chile,246772
152034,532679,employee,Graduate Institute of International and Development Studies IHEID,Genève,244502
177591,532679,employee,Graduate Institute of International and Development Studies IHEID,Genève,244502
198887,73348,responsible_applicant,School of Pharmaceutical Sciences  University of Geneva,Genève 4,247784
160374,53410,applicant,Unisanté (Center for Primary Care and Public Dpt d'épidémiologie et services de santé Section des maladies chroniques,Lausanne,239099
183759,53410,applicant,Unisanté (Center for Primary Care and Public Dpt d'épidémiologie et services de santé Section des maladies chroniques,Lausanne,239099
177587,776386,applicant,NA,NA,NA
146777,642919,employee,NA,NA,NA
171176,642919,employee,NA,NA,NA
147320,123700,responsible_applicant,Geographisches Institut Universität Bern,Bern,1758
160897,99705,responsible_applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
169461,99705,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
169564,99705,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
194003,99705,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
194008,99705,applicant,Swiss Federal Institute for Technology ETH NADEL Center for Development and Cooperation,Zürich,51863
147314,104788,responsible_applicant,Agroscope,Zürich,259342
177481,104788,responsible_applicant,Agroscope,Zürich,259342
177346,104788,applicant,Agroscope,Zürich,259342
171176,707415,employee,NA,NA,NA
169632,705787,employee,NA,NA,NA
152033,607441,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
169564,607441,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
177585,607441,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
194008,607441,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,710159,employee,NA,NA,NA
152154,710159,employee,NA,NA,NA
152019,82255,applicant,Institut für Umweltingenieurwissenschaften ETH Zürich,Zürich,223117
177587,82255,applicant,Institut für Umweltingenieurwissenschaften ETH Zürich,Zürich,223117
146791,13605,responsible_applicant,NA,NA,NA
152019,13605,applicant,NA,NA,NA
177346,706777,applicant,National Centre for Animal & P. Health CENSA,Havana,249683
160906,550672,responsible_applicant,"Dipartimento Ambiente, Costruzioni e Design Scuola Universitaria Professionale della Svizzera Italiana",Mendrisio,261465
169564,572275,responsible_applicant,Graduate Institute Chemin Eugène-Rigot 2A Department of International Relations,Genève 1,244869
194008,572275,responsible_applicant,Graduate Institute Chemin Eugène-Rigot 2A Department of International Relations,Genève 1,244869
147718,644744,employee,NA,NA,NA
171177,787334,employee,NA,NA,NA
147320,626696,applicant,Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia,La Paz,240686
147320,626695,applicant,Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia,La Paz,240686
160366,27226,applicant,Institut de recherches sociologiques Faculté des Sciences de la Société Université de Genève,Genève 4,246267
147210,520986,responsible_applicant,Internationale Konfliktforschung ETH Zürich,Zürich,236390
171175,520986,responsible_applicant,Internationale Konfliktforschung ETH Zürich,Zürich,236390
152167,541303,employee,Institut für Raum- u. Landschaftsentwicklung ETH Zürich,Zürich,226387
177592,541303,employee,Institut für Raum- u. Landschaftsentwicklung ETH Zürich,Zürich,226387
160923,662200,applicant,Avian Influenza Research Center Universitas Airlangga,Surabaya,244453
152167,701303,applicant,National University of Laos Faculty of Social Sciences,Vientiane,240146
177592,701303,applicant,National University of Laos Faculty of Social Sciences,Vientiane,240146
160366,23677,applicant,Department of Community Health & Medicine Faculty of Medicine University of Geneva,Genève,262086
177591,641558,employee,"Gender Centre, International law department The Graduate Institute of International and Development Studies",Genève,255125
146875,617130,applicant,Practical Action - Eastern Africa,Nairobi,239633
177386,716885,applicant,ICIMOD International Centre for Integrated Mountain Development,Kathmandu,71203
194252,800565,employee,NA,NA,NA
160910,674252,applicant,University of the Western Cape,Bellville,245880
152224,645562,applicant,Department of Agricultural Economics University of Zambia,Lusaka,241606
177582,645562,applicant,Department of Agricultural Economics University of Zambia,Lusaka,241606
152085,634304,applicant,KEFRI  Kenya Forestry Research Institute (KEFRI),Nairobi,241567
177588,634304,applicant,KEFRI  Kenya Forestry Research Institute (KEFRI),Nairobi,241567
152154,634418,applicant,Department of Animal Production University of Abomey Calavi,Abomey-Calavi,241614
177583,634418,applicant,Department of Animal Production University of Abomey Calavi,Abomey-Calavi,241614
169470,707775,employee,Pädagogische Hochschule Zürich,Zürich,232714
194006,707775,employee,Pädagogische Hochschule Zürich,Zürich,232714
183759,757729,employee,NA,NA,NA
177582,749619,employee,NA,NA,NA
160914,27975,employee,Laboratoire de pollution atmosphérique EPFL - ENAC - ISTE - LPAS,Lausanne,218004
147210,686200,employee,NA,NA,NA
152154,634425,applicant,CABI West Africa CAB International,"Cantonments, Accra",241617
177583,634425,applicant,CABI West Africa CAB International,"Cantonments, Accra",241617
169430,130127,employee,Institut für Integrative Biologie Departement Umweltwissenschaften ETHZ,Zürich,48578
194004,130127,employee,Institut für Integrative Biologie Departement Umweltwissenschaften ETHZ,Zürich,48578
160923,600558,responsible_applicant,Vaccine Formulation Institute,Plan-les-Ouates,257337
147725,623495,employee,United Nations Research Institute for Social Development (UNRISD),Genève 10,51620
160919,662177,applicant,Center for Health Studies CES Universidad del Valle de Guatemala,Guatemala City,244446
177584,638046,employee,Institut für Evolutionsbiologie und Umweltwissenschaften Universität Zürich,Zürich,58847
160366,680564,employee,NA,NA,NA
147210,620614,employee,Lamont-Doherty Earth Laboratory Columbia University,Palisades,216945
171175,620614,employee,Lamont-Doherty Earth Laboratory Columbia University,Palisades,216945
152034,664214,employee,NA,NA,NA
160373,76291,applicant,SUPSI Dipartimento scienze aziendali e sociali Pallazo E,Manno,238405
183760,76291,applicant,SUPSI Dipartimento scienze aziendali e sociali Pallazo E,Manno,238405
160914,662170,applicant,"Environmental Impacts Group, Energy Division Center for Information Management and Energy Developmen","Miramar, Playa",244440
146896,528169,responsible_applicant,Unisanté - Center for Primary Care and Public Health - Dept of Family Medicine University of Lausanne,Lausanne,255370
160914,731729,employee,NA,NA,NA
160366,655363,applicant,Universidade Eduardo Mondlane Faculty of Medicine,Maputo,261323
177585,745282,employee,NA,NA,NA
152017,634069,applicant,Centre Suisse de Recherche Scientifique,Abidjan,82651
177584,634069,applicant,Centre Suisse de Recherche Scientifique,Abidjan,82651
160373,594705,employee,"Dipartimento economia aziendale, sanità e sociale (DEASS) SUPSI",Manno,244222
147286,617328,applicant,Swiss Tropical and Public Health Institute,Basel,3448
152033,552602,applicant,COMPAS Comunidad Pluricultural Andino-Amazonica Para la Sustentabilidad,Cochabamba,259072
177386,552602,applicant,COMPAS Comunidad Pluricultural Andino-Amazonica Para la Sustentabilidad,Cochabamba,259072
177585,552602,applicant,COMPAS Comunidad Pluricultural Andino-Amazonica Para la Sustentabilidad,Cochabamba,259072
193980,564146,responsible_applicant,Abteilung Islamwissenschaft Asien-Orient-Institut Universität Zürich,Zürich,6686
152154,659642,employee,NA,NA,NA
171177,623448,responsible_applicant,Haute Ecole de Gestion de Geneve HES-SO,Carouge,247342
147718,623448,applicant,Haute Ecole de Gestion de Geneve HES-SO,Carouge,247342
193649,768771,applicant,Dep. Energy and Environmental Engineering School of Engineering University of Natural Resources,Sunyani,252019
152019,644062,applicant,Department of Communication Sciences Faculty of Human Ecology Bogor Agricultural University (IPB),Bogor,242672
177587,644062,applicant,Department of Communication Sciences Faculty of Human Ecology Bogor Agricultural University (IPB),Bogor,242672
171177,800639,employee,NA,NA,NA
169461,662063,applicant,Institut de Recherche en Sciences dela Santé Centre National de Recherche Scientifique et Technologique,Ouagadougou,244398
194003,662063,applicant,Institut de Recherche en Sciences dela Santé Centre National de Recherche Scientifique et Technologique,Ouagadougou,244398
190140,774137,employee,NA,NA,NA
190140,778827,employee,NA,NA,NA
152017,626842,applicant,World Agroforestry Center,Abidjan,240705
177584,626842,applicant,World Agroforestry Center,Abidjan,240705
177592,755828,employee,Centre for Development and Environment (CDE)  Universität Bern,Bern,255857
194003,785048,employee,NA,NA,NA
177582,651305,employee,IAM Institut für Angewandte Medienwissenschaft ZHAW,Winterthur,232147
177480,706778,applicant,Forest Products Research & Development Inst. Chemistry and Biotechnology Section,Laguna,249686
177296,706379,applicant,Section de Sociologie UFR de Lettres et Sciences Humaines Université Gaston Berger,St. Louis,249562
152034,663253,employee,"Pogramme genre, globalisation et changements  IHEID",Genève 21,242757
177591,663253,employee,"Pogramme genre, globalisation et changements  IHEID",Genève 21,242757
194006,758492,applicant,Ho Chi Minh University of Education and Technology,Ho Chi Minh City,255712
177515,635512,applicant,Plant Protection Department Agricultural Faculty Kyrgyz – Turkish Manas University,Bishkek,241934
193649,756691,applicant,Kwame Nkrumah University of Science and Tech Faculty of Social Sciences Department of Economics,Kumasi,257941
146777,644524,employee,Institut de Hautes Etudes Internationales et du Développement,Genève 21,96722
199067,773920,applicant,Petroleum and Petrochemical College  Chulalongkorn University,Bangkok,258274
177480,717824,employee,Departement Wirtschaft Berner Fachhochschule,Bern,227694
160373,718597,employee,NA,NA,NA
183760,718597,employee,NA,NA,NA
183759,655089,employee,Institut universitaire de formation et de recherche en soins IUFRS Université de Lausanne,Lausanne,236331
169564,683160,applicant,"University of Ghana Institute of Statistical, Social and Economic Research",Accra,246740
194008,683160,applicant,"University of Ghana Institute of Statistical, Social and Economic Research",Accra,246740
152019,644057,applicant,CIFOR Central Africa Regional Office Nkolbisson IITA-HFC,Yaoundé,242666
152085,574564,employee,Centre for Development and Environment (CDE) Universität Bern,Bern,242779
177588,574564,employee,Centre for Development and Environment (CDE) Universität Bern,Bern,242779
160909,654308,employee,Institut für Sozial- und Präventivmedizin Universität Bern,Bern,110
146875,616201,responsible_applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
177588,616201,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
193980,758314,applicant,Lab. d'Etudes politiques/humaines/sociales Sciences Po Rabat Université Internationale de Rabat,Rabat,256272
146955,505422,responsible_applicant,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Lausanne,6113
171188,505422,responsible_applicant,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Lausanne,6113
194006,758491,applicant,"CDRI, Cambodia",Phnom Penh,256301
169461,716272,employee,NA,NA,NA
169564,716272,employee,NA,NA,NA
189496,586822,responsible_applicant,Département de Microbiologie Fondamentale Faculté de Biologie et de Médecine Université de Lausanne,Lausanne,54808
177474,729720,employee,NA,NA,NA
169470,683124,applicant,BRAC University (BIED-BRACU) BRAC Institute of Educational Development,Dhaka,246713
194006,683124,applicant,BRAC University (BIED-BRACU) BRAC Institute of Educational Development,Dhaka,246713
152085,529962,employee,CABI,Delémont,107132
177588,529962,employee,CABI,Delémont,107132
147314,617339,applicant,National Center for Animal and Plant Health CENSA,"San José de las Lajas, Mayabeque",238601
177481,617339,applicant,National Center for Animal and Plant Health CENSA,"San José de las Lajas, Mayabeque",238601
147725,671116,employee,NA,NA,NA
152019,644058,applicant,Department of Ecology and Territory Faculty of Rural and Environmental Studies Universidad Javeriana,Bogota,242667
177587,644058,applicant,Department of Ecology and Territory Faculty of Rural and Environmental Studies Universidad Javeriana,Bogota,242667
147330,617422,applicant,Forest Products Research & Development Inst. Material Science Division,Laguna,250819
177480,617422,applicant,Forest Products Research & Development Inst. Material Science Division,Laguna,250819
193980,632468,employee,Abteilung Islamwissenschaft Asien-Orient-Institut Universität Zürich,Zürich,6686
169461,692666,employee,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Basel,229552
194003,692666,employee,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Basel,229552
160373,691674,employee,NA,NA,NA
152019,607376,applicant,Department of Civil Engineering National University Singapore,Singapore,210229
190140,748997,partner,Centro Internacional de Entrenamiento e Investigaciones Medicos (CIDEIM),Cali,218534
177322,672209,applicant,Social Policy Analysis and Research Centre Faculty of Arts University of Colombo,Colombo,251134
177480,759412,employee,NA,NA,NA
188830,49317,responsible_applicant,Centre for Energy Policy and Economics (CEPE) ETH Zürich,Zürich,124343
177386,106218,responsible_applicant,Institut für Pflanzenwissenschaften Universität Bern,Bern,71
177592,537997,applicant,Eawag Department of Environmental Social Sciences,Dübendorf,260169
160904,662121,applicant,Laboratory of Plant Protection and Improveme Institute of Biotechnology of Sfax University of Sfax,Sfax,239916
147278,67279,responsible_applicant,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
152224,67279,responsible_applicant,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
177582,67279,responsible_applicant,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
147350,584688,responsible_applicant,Völkerkundemuseum Universität Zürich,Zürich,6700
160867,661979,applicant,Centre Suisse de Recherche Scientifique,Abidjan,82651
193032,755418,applicant,Geomatic and Ecosystem Modeling/Laboratory o Department of Botany University of Lomé,Lomé,255826
160373,689363,employee,2rLAB DEASS SUPSI,Manno,253076
183760,689363,employee,2rLAB DEASS SUPSI,Manno,253076
190277,730458,responsible_applicant,Institute of Social and Preventive Medicine (ISPM) Universität Bern,Bern,79308
147836,529895,responsible_applicant,World Trade Institute Universität Bern,Bern,248220
152154,569859,applicant,Institut d'Ethnologie Université de Neuchâtel,Neuchâtel,111149
177583,569859,applicant,Institut d'Ethnologie Université de Neuchâtel,Neuchâtel,111149
160876,674177,applicant,Swiss Organisation for Health in Africa SolidarMed,Maseru West,244377
152017,66841,responsible_applicant,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
177584,66841,responsible_applicant,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
194252,66841,responsible_applicant,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
193032,66841,partner,ETH Zurich Dep. Umweltsystemwissens Institut für Agrarwissenschaften,Lindau,261195
152033,669948,employee,NA,NA,NA
198887,749112,applicant,Biochemistry Department Faculty of Pharmacy & Biotechnology The German University in Cairo,Cairo,254912
