last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number
Abdi,Shiferaw Kebede,male,Hawassa University Law School,Hawassa,623720,NA,projects_as_applicant,147836
Aboud,Nihad Salaheldin Mohamed M.,female,NA,NA,775693,NA,projects_as_employee,171175
Achakpa,Mimidoo,female,Women’s Right to Education Programme (WREP),Abudja,690464,NA,projects_as_applicant,171176
Agyakwah,Seth,male,CSIR Water Research Institute,Akosombo,617322,NA,projects_as_applicant,147278
Ajuwon,Ademola Johnson,male,Faculty of Public Health Department of Health University of Ibadan,Ibadan,662138,NA,projects_as_applicant,160910
Akindès,Francis,male,Université Alassane Ouattara Bouaké,Bouaké,617276,NA,projects_as_applicant,160929
Alvarez Castillo,Danilo Antonio,male,Center for Health Studies CES Universidad del Valle de Guatemala,Guatemala City,662180,NA,projects_as_applicant,160919
Amacker,Michèle,female,Interdisziplinäres Zentrum für Geschlechterforschung (IZFG) Universität Bern,Bern,560072,NA,projects_as_applicant,171191
Amoasah,George,male,"CHF International, Ghana","Legon, Accra",617321,NA,projects_as_applicant,147278
Andrade,Marcos,male,Laboratorio de Fisica de la Atmosfera Carrera de Fisica Universidad Mayor de San Andres,La Paz,617355,NA,projects_as_applicant,147320
Ansu,Yaw,male,African Center for Economic Transformation,Accra,623459,NA,projects_as_applicant,171177
Arboleda,Justino,male,Juboken Enterprise Inc.,Quezon City,626803,NA,projects_as_applicant,147330
Asangbeh,Serra Lem,female,NA,NA,731728,NA,projects_as_employee,177319
Atitsogbe,Kokou Amenyona,male,Institut de psychologie Université de Lausanne,Lausanne,738237,0000-0003-3469-1738,projects_as_employee,177295
Ato Ewusie,Ebnezer,male,Biotechnology & Nuclear Agric. Res Institute,Accra,617319,NA,projects_as_applicant,147278
Aya Pastrana,Nathaly,female,Institute for Public Communication (ICP) Università della Svizzera italiana,Lugano,721495,0000-0002-0321-2397,projects_as_employee,160366
Balsiger,Urs,male,NCCR North-South Universität Bern,Bern,528222,NA,projects_as_employee,152085
Bär,Roger,male,NA,NA,641072,NA,projects_as_employee,146875
Bartolomé Gutiérrez,Nora,female,Forschungsanstalt Agroscope Reckenholz-Tänikon ART,Zürich,637320,NA,projects_as_employee,147314
Battuulai,Tsegmed,male,Research Center of Astronomy and Geophysics Institute of Geophysics Mongolian Academy of Sciences,Ulaanbaatar - 51,706753,NA,projects_as_applicant,177474
Bautze,David,male,NA,NA,692324,NA,projects_as_employee,147278
Beckmann,Gitte,female,Völkerkundemuseum Universität Zürich,Zürich,599962,NA,projects_as_employee,147350
Belalcazar,Luis Carlos,male,National University of Colombia,Bogota,674255,NA,projects_as_applicant,160914
Beran,David Henri,male,Hôpitaux Universitaires de Genève Division of Tropical and Humanitarian Medicine,Genève 4,542249,NA,projects_as_responsible_applicant,160366
Bernath,Julie,female,Chulalongkorn University,Bangkok,697573,0000-0002-0242-6860,projects_as_employee,160867
Bernet,Thomas,male,NA,NA,660376,NA,projects_as_employee,152017
Bezzola,Selina,female,NA,NA,727593,NA,projects_as_employee,160897
Bikketi,Edward,male,Kenya Agricultural Research Institute KARI-KABETE,Nairobi,636151,NA,projects_as_applicant,152085
Blaser,Jürgen,male,"Hochschule für Agrar-, Forst- und Lebensmittel Berner Fachhochschule",Zollikofen,632813,NA,projects_as_applicant,177480
Böhm,Susanne,female,Center for Comparative and International Studies (CIS) and Institute for Environmental Decisions (IED),Zürich,623148,NA,projects_as_employee,171175
Bohnet,Heidrun,female,Global Governance CIS ETH Zürich,Zürich,576939,NA,projects_as_employee,147210
Bohnet,Heidrun,female,Département de science politique et relations internationales Université de Genève,Genève 4,576939,NA,projects_as_employee,147210
Brady,Michael,male,NA,NA,776386,NA,projects_as_applicant,177587
Bürgi,Jutta,female,NA,NA,705787,NA,projects_as_employee,169632
Canizares,Ernesto Vega,male,National Centre for Animal & P. Health CENSA,Havana,706777,NA,projects_as_applicant,177346
Cannata,Massimiliano,male,Istituto Scienze della Terra DACD SUPSI,Canobbio,550672,NA,projects_as_responsible_applicant,160906
Caron,Justin,male,NA,NA,644744,NA,projects_as_employee,147718
Carrasco,Gualberto,male,Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia,La Paz,626696,NA,projects_as_applicant,147320
Castellon Geier,Yaruska Rosa,female,Servicio Nacional de Meterologia e Hidrologia SENAMHI Bolivia,La Paz,626695,NA,projects_as_applicant,147320
Chairul,Nidom,male,Avian Influenza Research Center Universitas Airlangga,Surabaya,662200,NA,projects_as_applicant,160923
Chauvet,Emmanuelle,female,"Département de Relations internationales et Science politique IHEID, Graduate Institute",Genève,641558,NA,projects_as_employee,177591
Chege,Paul Gacheru,male,Practical Action - Eastern Africa,Nairobi,617130,NA,projects_as_applicant,146875
Chettri,Nakul,male,ICIMOD International Centre for Integrated Mountain Development,Kathmandu,716885,NA,projects_as_applicant,177386
Chipps,Jennifer,female,University of the Western Cape,Bellville,674252,NA,projects_as_applicant,160910
Ciancio,Alberto,male,NA,NA,757729,NA,projects_as_employee,183759
Cicek,Harun,male,NA,NA,749619,NA,projects_as_employee,177582
Cook,Sarah,female,United Nations Research Institute for Social Development (UNRISD),Genève 10,623495,NA,projects_as_employee,147725
Cordon-Rosales,Celia,female,Center for Health Studies CES Universidad del Valle de Guatemala,Guatemala City,662177,NA,projects_as_applicant,160919
Correia,Jorge Cesar,male,NA,NA,680564,NA,projects_as_employee,160366
Covarrubias,Katia,female,NA,NA,664214,NA,projects_as_employee,152034
Curbelo Alonso,Alfredo Jose,male,"Environmental Impacts Group, Energy Division Center for Information Management and Energy Developmen","Miramar, Playa",662170,NA,projects_as_applicant,160914
D'Acremont,Valérie,female,Unisanté - Center for Primary Care and Public Health - Dept of Family Medicine University of Lausanne,Lausanne,528169,NA,projects_as_responsible_applicant,146896
Damartzis,Theodoros,male,NA,NA,731729,NA,projects_as_employee,160914
Damasceno,Albertino,male,Eduardo Mondlane University Faculty of Medicine,Maputo,655363,NA,projects_as_applicant,160366
Daniel-Ortmann,Desirée Christina,female,NA,NA,745282,NA,projects_as_employee,177585
De Pietro,Carlo,male,"Dipartimento economia aziendale, sanità e sociale (DEASS) SUPSI",Manno,594705,NA,projects_as_employee,160373
de Savigny,Don,male,Schweizerisches Tropen- und Public Health-Institut,Basel,617328,NA,projects_as_applicant,147286
Dennis,Julia,female,NA,NA,659642,NA,projects_as_employee,152154
Depetris Chauvin,Nicolas,male,Haute Ecole de Gestion de Geneve HES-SO,Carouge,623448,0000-0002-5238-3539,projects_as_applicant,147718
Diebold,Clara Léonie,female,Centre for Development and Environment (CDE)  Universität Bern,Bern,755828,NA,projects_as_employee,177592
Dietler,Dominik,male,NA,NA,785048,NA,projects_as_employee,194003
Dionglay,Mariluz S.P.,female,Forest Products Research & Development Inst. Chemistry and Biotechnology Section,Laguna,706778,NA,projects_as_applicant,177480
Diop,Fatou,female,Section de Sociologie UFR de Lettres et Sciences Humaines Université Gaston Berger,St. Louis,706379,NA,projects_as_applicant,177296
Do Van,Dung,male,Ho Chi Minh University of Education and Technology,Ho Chi Minh City,758492,NA,projects_as_applicant,194006
Drumond Rangel Campos,Paula,female,Institut de Hautes Etudes Internationales et du Développement,Genève 21,644524,NA,projects_as_employee,146777
Eba'a Atyi,Richard,male,CIFOR Central Africa Regional Office Nkolbisson IITA-HFC,Yaoundé,644057,NA,projects_as_applicant,152019
Ehrensperger,Albrecht,male,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,616201,NA,projects_as_responsible_applicant,146875
Ehrensperger,Albrecht,male,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,616201,NA,projects_as_applicant,152085
Ehrensperger,Albrecht,male,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,616201,NA,projects_as_employee,152085
Eng,Netra,female,"CDRI, Cambodia",Phnom Penh,758491,NA,projects_as_applicant,194006
Erdenechimeg,Batmagnai,male,NA,NA,729720,NA,projects_as_employee,177474
Esquivel,Valeria,female,NA,NA,671116,NA,projects_as_employee,147725
Farronato,Joel,male,NA,NA,691674,NA,projects_as_employee,160373
Fatichi,Simone,male,Department of Civil Engineering National University Singapore,Singapore,607376,0000-0003-1361-6659,projects_as_applicant,152019
Fernando,Nishara,male,Department of Sociology Faculty of Arts University of Colombo,Colombo,672209,0000-0003-1320-0260,projects_as_applicant,177322
Feurer,Mélanie,female,NA,NA,759412,NA,projects_as_employee,177480
Fki,Lotfi,male,Laboratory of Plant Protection and Improveme Institute of Biotechnology of Sfax University of Sfax,Sfax,662121,NA,projects_as_applicant,160904
Fokou,Gilbert,male,Centre Suisse de Recherche Scientifique,Abidjan,661979,NA,projects_as_applicant,160867
Francetic,Igor,male,2rLAB DEASS SUPSI,Manno,689363,0000-0002-2481-3749,projects_as_employee,160373
Fritz,Christiane,female,Swiss Organisation for Health in Africa SolidarMed,Maseru West,674177,NA,projects_as_applicant,160876
Fürst,Christiane,female,NA,NA,669948,NA,projects_as_employee,152033
Garcia,Carlos M.,male,Forest Products Research & Development Inst. Wood Preservation Division,Laguna,706779,NA,projects_as_applicant,177480
Gelb,Stephen,male,NA,NA,634780,NA,projects_as_employee,152033
Ghale,Yamuna,female,Nepal Centre for Contemporary Research NCCR,Kathmandu,768072,NA,projects_as_applicant,177322
Giannakis,Stefanos,male,Groupe des procédés avancés d'oxydation GPAO EPFL - SB - ISIC - GPAO,Lausanne,642543,0000-0002-6982-7351,projects_as_employee,146919
Gintowt,Lukasz,male,NA,NA,645603,NA,projects_as_employee,147286
Goretti,Marco,male,NA,NA,678002,NA,projects_as_employee,160374
Grange-Omokaro,Françoise,female,Anthropology and Sociology Department Graduate Institute IHEID,Genève,706377,NA,projects_as_applicant,177296
Grayver,Alexander,male,Institut für Geophysik ETH Zürich,Zürich,697097,0000-0003-1132-3705,projects_as_applicant,177474
Greenwood,Julian,male,NA,NA,716384,NA,projects_as_employee,160877
Grenz,Jan Hendrik,male,"Hochschule für Agrar-, Forst- und Lebensmittelwissenschaften HAFL Berner Fachhochschule BFH",Zollikofen,609993,NA,projects_as_applicant,147330
Gröhbiel,Urs,male,Hochschule für Wirtschaft Fachhochschule Nordwestschweiz,Basel,616283,NA,projects_as_responsible_applicant,160910
Grunder,Julien,male,NA,NA,84925,NA,projects_as_employee,152154
Guicciardini Corsi Salviati,Maria-Ottavia,female,NA,NA,706892,NA,projects_as_employee,169564
Gupta,Ravi Shankar,male,District Health Management Team,Butha-Buthe,661997,NA,projects_as_applicant,160876
Gyimah-Boadi,Emmanuel,male,Ghana Center for Democratic Development,Legon Accra,617282,NA,projects_as_applicant,147210
Häberli,Christian,male,World Trade Institute Centre for Development and Environment (CDE) Universität Bern,Bern,574672,NA,projects_as_employee,147836
Hafidi,Mohamed,male,Faculty of Sciences Semlalia University Cadi Ayyad,Marrakech,662122,NA,projects_as_applicant,160904
Hagemann,Daria,female,Institut de hautes études Internationales et du Développement,Genève,642187,NA,projects_as_employee,146777
Hagemann,Nikolas,male,NA,NA,729944,NA,projects_as_employee,177346
Haller,Tobias,male,Institut für Sozialanthropologie Philosophisch-historische Fakultät Universität Bern,Bern,117097,NA,projects_as_applicant,177585
Harttgen,Kenneth,male,"Departement Geistes-, Sozial- und Staatswissenschaften (D-GESS) ETH Zürich",Zürich,716292,NA,projects_as_employee,160373
Heinimann,Andreas,male,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,560709,NA,projects_as_applicant,177588
Hertig,Daniel,male,NA,NA,737932,NA,projects_as_employee,160910
Hervé,Dominique,male,University of Antananarivo,Antananarivo,617066,NA,projects_as_applicant,146791
Hewlett,Chris,male,NA,NA,759114,NA,projects_as_employee,177385
Hirzel,Annina Mirjam,female,Global Governance CIS ETH Zürich,Zürich,643190,NA,projects_as_employee,147210
Hochet,Peter,male,Laboratoire Citoyennetés,Ouagadougou,674226,NA,projects_as_applicant,160897
Hooley,Brady,male,Swiss Tropical and Public Health Institute Department of Epidemiology and Public Health University of Basel,Basel,752026,NA,projects_as_employee,183760
Hug,Simon,male,Département de science politique et relations internationales Université de Genève,Genève 4,690368,NA,projects_as_applicant,171175
Hunziker,Stefan,male,Geographisches Institut Universität Bern,Bern,643124,0000-0001-6900-5684,projects_as_employee,147320
Illien,Patrick,male,Centre for Development and Environment University of Bern,Bern,716294,NA,projects_as_employee,171191
Jäger,Janine,female,Institut für Wirtschaftsinformatik Fachhochschule Nordwestschweiz Hochschule für Wirtschaft,Basel,737509,NA,projects_as_employee,160910
Jakob,Virginie,female,NA,NA,715978,NA,projects_as_employee,160923
Jha,Nilambar,male,B P Koirala Institute of Health Sciences School of Public Health & Community Medicine,Dharan,665829,NA,projects_as_applicant,160366
Kahama-Maro,Judith,female,Dar es Salaam City Council City Medical Office Health,Dar es Salaam,533453,NA,projects_as_applicant,146896
Karyanto,Oka,male,Faculty of Forestry Universitas Gadjah Mada,"Bulaksumur, Yogyakarta",674250,NA,projects_as_applicant,160906
Kasasa,Simon,male,Makerere University,Makerere Main Campus,617329,NA,projects_as_applicant,147286
Käser,Fabian,male,Akademie der Naturwissenschaften Schweiz SCNAT,Bern,659578,NA,projects_as_employee,152033
Keitel,Kristina,female,Klinik und Poliklinik für Kinderheilkunde Medizinische Universitäts-Kinderklinik Inselspital,Bern,709797,0000-0002-9663-3843,projects_as_employee,146896
Kemper,Johanna Mirka,female,Research Division Education Systems Swiss Economic Institute Swiss Federal Institute for Technology ETH,Zürich,672232,NA,projects_as_employee,169632
Khan Mohammad,Guive,male,Global Studies Institute Université de Genève,Genève,673931,NA,projects_as_employee,160929
Kiba,Delwendé Innocent,male,Group of Plant Nutrition Institute of Agricultural Sciences ETH Zurich,Lindau,658638,NA,projects_as_employee,152017
Koçer,Rüya Gökhan,male,NA,NA,642845,NA,projects_as_employee,147836
Krause,Jana,female,Institut de Hautes Etudes Internationales et du Développement,Genève 21,569496,NA,projects_as_employee,146777
Kyaddondo,David,male,Makerere University,Makerere Main Campus,617451,NA,projects_as_applicant,147350
Lachat,Sarah,female,Université de Genève,Genève,698474,NA,projects_as_employee,160366
